DateTime,AddedIPs,RemovedIPs
1447091992,53,55
1447160058,56,68
1447198711,78,67
1447427916,258,96
1447511887,48,60
1447518900,93,45
1447773908,79,89
1447871046,213,102
1448038770,269,73
1448128699,217,69
1448300713,234,67
1448381840,170,84
1448475115,169,81
1448737849,229,122
1448742548,52,55
1448901368,140,83
1449075244,171,96
1449241245,330,105
1449364573,97,126
1449536522,106,98
1449681142,187,115
1449760878,64,71
1449844595,93,92
1450026423,192,113
1450196766,125,77
1450368597,216,122
1450717610,129,148
1451004029,131,148
1451154662,84,99
1451531050,118,128
1451928000,95,126
1452014892,60,81
1452140279,159,103
1452214086,62,88
1452294652,111,84
1452362594,72,87
1452453976,115,81
1453104852,195,200
1453193330,75,91
1453328241,96,79
1453418796,97,107
1453713110,100,125
1453936965,116,96
1454087511,93,104
1454416444,131,109
1454519226,129,74
1454687941,100,82
1454755205,63,65
1454949644,157,112
1455029973,115,45
1455130513,176,79
1455211645,157,37
1455292400,162,87
1455381961,198,104
1455467821,86,31
1455554298,199,86
1455642257,224,157
1455731866,111,119
1455952286,140,130
1456208775,245,137
1456264670,238,97
1456333294,179,85
1456420127,191,117
1456504726,159,95
1456760841,222,132
1456841696,173,77
1456928603,101,106
1457005572,93,102
1457070536,181,87
1457114710,158,116
1457197031,139,75
1457365313,147,114
1457532091,354,163
1457564681,103,115
1457622393,112,55
1457657700,63,69
1457718323,138,64
1457975277,259,156
1458065133,208,154
1458227463,118,107
1458307390,190,87
1458401858,144,121
1458575642,106,121
1458661372,255,119
1458696890,103,103
1458749853,141,94
1458830907,150,117
1458913671,179,114
1458932501,86,79
1459004011,98,45
1459056113,93,69
1459173978,146,137
1459345607,133,121
1459349799,127,92
1459520499,320,102
1459671835,131,145
1459696025,193,110
1459785664,256,144
1459952679,210,119
1460032639,158,118
1460110567,151,120
1460260199,313,161
1460294108,172,98
1460405777,282,136
1460553874,273,145
1460583876,101,118
1460653421,134,86
1460720459,201,115
1460804134,175,98
1460853639,93,85
1460901082,156,83
1461075489,287,146
1461164574,331,175
1461251677,156,121
1461333604,166,130
1461420270,184,130
1461675967,304,324
1461690612,193,196
1461768742,258,122
1461851397,299,178
1461883976,139,193
1462028611,252,163
1462195400,174,158
1462281380,198,149
1462404968,208,196
1462486031,168,93
1462541160,156,94
1462574085,69,185
1462907574,455,233
1462967448,246,145
1462998062,139,134
1463150093,248,147
1463496431,271,243
1463578747,136,166
1463601303,167,144
1463669691,151,101
1463753965,172,174
1463835952,95,169
