DateTime,Entries,UniqueIPs
1436231712,9163,9163
1436318299,9124,9124
1436405233,9313,9313
1436492186,9259,9259
1436613825,9162,9162
1436700429,9143,9143
1436787425,8397,8397
1436874315,8649,8649
1436961260,8830,8830
1437048020,8967,8967
1437134998,9029,9029
1437221988,8911,8911
1437308836,8556,8556
1437395797,8189,8189
1437482720,8220,8220
1437569663,8171,8171
1437660995,7790,7790
1437748079,7890,7890
1437835028,7837,7837
1437921914,7865,7865
1438008856,7928,7928
1438095652,8049,8049
1438182592,8141,8141
1438269506,8474,8474
1438356437,8417,8417
1438443395,8514,8514
1438530328,8526,8526
1438617287,8537,8537
1438704017,8660,8660
1438790975,8876,8876
1438948755,9063,9063
1439036063,8905,8905
1439123582,8858,8858
1439123582,8858,8858
1439123582,8858,8858
1439123582,8858,8858
1439210192,8903,8903
1439210192,8903,8903
1439297143,9135,9135
1439384063,9086,9086
1439470827,8789,8789
1439557782,8649,8649
1439644797,8673,8673
1439644797,8673,8673
1439731655,8654,8654
1439818592,8685,8685
1439905563,8796,8796
1439992091,8862,8862
1440079232,8893,8893
1440079232,8893,8893
1440166740,8909,8909
1440254228,8829,8829
1440341360,8592,8592
1440428441,8554,8554
1440515912,8746,8746
1440603393,8909,8909
1440603393,8909,8909
1440690960,9069,9069
1440778232,9017,9017
1440865686,8658,8658
1440953159,8522,8522
1441041136,8401,8401
1441128446,8379,8379
1441215566,8322,8322
1441302872,8141,8141
1441390185,8034,8034
1441477297,7869,7869
1441564722,7728,7728
1441652093,7774,7774
1441739406,7976,7976
1441826937,7972,7972
1441914371,7889,7889
1442003317,7786,7786
1442090749,7609,7609
1442178063,7342,7342
1442265520,7283,7283
1442352726,7320,7320
1442440304,7255,7255
1442527398,7110,7110
1442614823,6965,6965
1442701838,6942,6942
1442789151,6913,6913
1442876489,6932,6932
1442963944,6927,6927
1443050950,6787,6787
1443138357,6640,6640
1443225391,6244,6244
1443312597,5714,5714
1443400104,5628,5628
1443487591,5626,5626
1443574855,5589,5589
1443661940,5645,5645
1443749334,5649,5649
1443836860,5698,5698
1443924349,5729,5729
1444011880,5740,5740
1444099328,5840,5840
1444186512,5572,5572
1444273847,5270,5270
1444361280,5095,5095
1444448786,5019,5019
1444536037,4901,4901
1444623543,4877,4877
1444711069,5053,5053
1444798514,5133,5133
1444885808,5062,5062
1444973278,4957,4957
1445060765,4984,4984
1445148097,4985,4985
1445244815,4927,4927
1445332177,4945,4945
1445419701,4942,4942
1445507146,4976,4976
1445594556,5048,5048
1445681969,5033,5033
1445769518,5040,5040
1445856896,4997,4997
1445944210,5003,5003
1446031685,4999,4999
1446119304,4982,4982
1446206433,5039,5039
1446293950,4742,4742
1446381429,4709,4709
1446470676,4682,4682
1446557834,4704,4704
1446645360,5153,5153
1446733516,5618,5618
1446824327,5820,5820
1446911366,5867,5867
1446998585,5853,5853
1447086015,5851,5851
1447173431,6130,6130
1447260885,6044,6044
1447348180,5974,5974
1447435695,5980,5980
1447523152,5890,5890
1447610443,5893,5893
1447697946,5878,5878
1447785416,5879,5879
1447872980,5880,5880
1447960480,5864,5864
1448049423,5860,5860
1448136592,5809,5809
1448224069,5794,5794
1448312016,5906,5906
1448402352,5898,5898
1448489391,5903,5903
1448578605,5894,5894
1448666134,5871,5871
1448753269,5816,5816
1448840785,5785,5785
1448928127,5754,5754
1449015515,5828,5828
1449103123,5960,5960
1449190462,5930,5930
1449277820,5463,5463
1449370839,4870,4870
1449458336,4703,4703
1449552923,4675,4675
1449640272,4796,4796
1449727837,5112,5112
1449815242,4632,4632
1449902305,4654,4654
1449989661,4679,4679
1450077000,4687,4687
1450164474,4674,4674
1450251959,4630,4630
1450339283,4614,4614
1450426727,4629,4629
1450513751,4641,4641
1450601176,4642,4642
1450688450,4665,4665
1450775544,4676,4676
1450862882,4654,4654
1450949935,4566,4566
1451037282,4577,4577
1451129559,4579,4579
1451216771,4573,4573
1451304075,4581,4581
1451391299,4600,4600
1451478450,4585,4585
1451565943,4570,4570
1451653289,4454,4454
1451740721,4153,4153
1451828217,4037,4037
1451915673,4054,4054
1452002994,4067,4067
1452090019,4068,4068
1452177499,4031,4031
1452312114,3622,3622
1452399553,3563,3563
1452487121,3446,3446
1452574503,3525,3525
1452661843,3501,3501
1452749308,3505,3505
1452836773,3507,3507
1452924153,3513,3513
1453011587,3508,3508
1453098825,3520,3520
1453185889,3522,3522
1453273011,3553,3553
1453360142,3546,3546
1453447259,3548,3548
1453534383,3543,3543
1453621519,3546,3546
1453708621,3564,3564
1453796023,3516,3516
1453883100,3531,3531
1453970470,3535,3535
1454057570,3502,3502
1454144711,3497,3497
1454231815,3512,3512
1454318946,3547,3547
1454406066,3551,3551
1454493292,3561,3561
1454580396,3599,3599
1454667658,3582,3582
1454754791,3571,3571
1454842099,3588,3588
1454929274,3593,3593
1455016442,3580,3580
1455103520,3594,3594
1455190607,3495,3495
1455277762,3495,3495
1455364878,3483,3483
1455451979,3494,3494
1455539091,3504,3504
1455626255,4038,4038
1455713354,4265,4265
1455800464,4314,4314
1455887599,4293,4293
1455974684,4289,4289
1456061867,4300,4300
1456148945,4316,4316
1456236087,4296,4296
1456323246,4303,4303
1456410376,4336,4336
1456497465,4437,4437
1456584606,4496,4496
1456671712,4500,4500
1456758843,4571,4571
1456845931,4590,4590
