DateTime,AddedIPs,RemovedIPs
1436290611,9,0
1436379625,18,0
1436454010,6,0
1436543658,8,0
1436628442,18,0
1436717903,17,0
1436806806,16,0
1436896473,14,0
1436971061,19,0
1437060425,5,0
1437149891,12,0
1437239414,14,0
1437328806,12,1
1437403527,9,0
1437492995,9,0
1437582438,8,0
1437675500,16,0
1437750027,11,0
1437839663,6,0
1437929109,9,0
1438018619,3,0
1438108027,6,0
1438182572,5,0
1438272014,14,0
1438361655,9,0
1438451111,19,0
1438525625,18,0
1438615119,26,0
1438704556,13,0
1438793841,14,0
1438948647,19,0
1438963227,6,0
1439052855,17,0
1439132935,6,0
1439222971,11,0
1439313521,6,0
1439402760,16,0
1439477121,13,0
1439566584,18,1
1439656037,9,0
1439744957,11,0
1439834056,10,0
1439908597,10,0
1439997790,7,0
1440086969,15,0
1440176048,10,0
1440265584,11,0
1440340232,16,0
1440429500,14,0
1440518968,10,0
1440608431,12,0
1440697534,3,0
1440772043,16,0
1440862037,19,0
1440951554,5,0
1441041101,7,0
1441130431,15,0
1441205119,22,0
1441294578,15,0
1441383497,9,0
1441473020,10,0
1441562460,18,0
1441637186,10,0
1441725733,8,0
1441814952,13,0
1441904427,17,0
1441994053,15,0
1442069146,9,0
1442158855,5,0
1442248055,6,0
1442338067,11,0
1442427574,5,0
1442502099,3,0
1442591672,10,0
1442682561,10,0
1442772073,12,0
1442846746,3,0
1442936253,7,0
1443025652,7,0
1443115150,13,0
1443204605,5,0
1443279280,7,0
1443368218,15,0
1443457267,10,0
1443546587,15,0
1443636043,8,0
1443710750,22,0
1443800197,4,0
1443889646,16,0
1443979668,10,0
1444069146,6,0
1444143558,6,0
1444233324,15,0
1444322752,11,0
1444412223,13,0
1444501734,19,0
1444576175,11,0
1444665630,13,0
1444755273,11,0
1444844750,30,0
1444919246,11,0
1445009244,11,0
1445098712,16,0
1445188179,17,0
1445276742,13,0
1445351250,17,0
1445440712,14,0
1445537917,20,0
1445612430,20,1
1445702057,29,0
1445790996,25,0
1445881531,10,0
1445956091,24,0
1446045598,29,0
1446135526,28,0
1446227729,16,0
1446305305,28,0
1446395257,19,0
1446483268,17,0
1446573366,17,0
1446647251,18,0
1446734231,43,0
1446824710,11,0
1446914587,13,1
1447003171,19,0
1447093634,14,0
1447168173,11,0
1447265380,14,0
1447340050,15,0
1447429590,13,0
1447519032,24,0
1447608448,23,0
1447697916,11,1
1447772424,12,0
1447862450,22,0
1447944859,26,0
1448035765,23,0
1448125282,30,0
1448215223,17,0
1448290705,21,3
1448376351,28,2
1448462200,22,0
1448579578,18,0
1448639441,17,0
1448733414,18,0
1448808341,21,0
1448897966,20,0
1448990839,49,0
1449086266,20,0
1449160599,5,0
1449244167,18,0
1449338965,14,0
1449416725,6,1
1449506200,21,383
1449598419,17,0
1449688761,6,0
1449764858,14,0
1449862977,21,0
1449937197,11,0
1450027637,10,1
1450117144,16,0
1450209509,16,0
1450285241,17,0
1450380210,13,0
1450454429,16,3
1450547210,9,0
1450636595,14,0
1450726067,14,0
1450801655,15,1
1450892755,17,0
1450982187,16,0
1451071641,9,0
1451155620,19,0
1451231228,15,0
1451321652,15,0
1451416722,19,0
1451490644,28,0
1451579795,22,0
1451669253,20,0
1451759877,28,0
1451848522,37,0
1451922859,20,0
1452011806,23,0
1452101247,20,1
1452191849,9,0
1452278917,12,0
1452368193,20,0
1452443275,17,0
1452532712,13,0
1452622172,12,0
1452711665,8,0
1452786337,28,0
1452875804,17,0
1452965390,21,0
1453054725,13,0
1453142895,12,0
1453231219,23,0
1453319058,21,3
1453392265,12,1
1453480098,19,0
1453567932,20,0
1453655771,9,0
1453743641,18,0
1453831459,18,0
1453919287,8,0
1454007137,17,0
1454094977,11,0
1454182805,17,0
1454256044,12,0
1454344094,18,0
1454431947,13,0
1454520774,15,0
1454608570,16,0
1454696432,13,0
1454784266,19,0
1454872346,21,0
1454960168,22,0
1455033369,17,0
1455121465,15,0
1455209293,28,0
1455297143,12,0
1455385210,10,0
1455473049,15,0
1455560896,42,0
1455648743,34,0
1455736841,27,1
1455810508,21,0
1455898596,15,0
1455986409,21,0
1456074257,26,0
1456162245,21,0
1456250185,20,0
1456338294,23,0
1456426099,19,0
1456513936,19,0
1456602006,20,0
1456675243,16,0
1456763329,17,0
1456851173,31,0
1456938983,20,1
1457027051,19,0
1457115138,30,0
1457203213,25,0
1457291055,22,0
1457378935,19,0
1457452120,18,0
1457540228,32,0
1457628012,18,0
1457715881,31,0
1457804207,25,0
1457892021,28,0
1457980892,23,0
1458068661,33,0
1458156513,35,0
1458229693,21,0
1458317592,23,0
1458405375,19,0
1458493219,24,2
1458581559,30,0
1458669655,15,0
1458757946,16,1
1458845781,15,0
1458933575,30,1
1459007051,20,0
