DateTime,AddedIPs,RemovedIPs
1470167539,2,0
1470182178,3,0
1470196856,1,0
1470211449,1,0
1470226099,2,0
1470240993,2,0
1470255610,2,0
1470270248,3,0
1470284898,0,1
1470299545,1,0
1470314185,1,0
1470328833,2,0
1470343449,1,1
1470358108,1,0
1470372743,1,0
1470387392,0,2
1470416649,1,0
1470460577,2,0
1470475227,1,0
1470504501,3,0
1470548657,1,0
1470563302,1,0
1470577936,1,0
1470607239,1,0
1470636508,3,0
1470651144,1,0
1470709703,1,0
1470753613,2,0
1470768252,2,0
1470797540,2,0
1470812185,1,0
1470826840,3,0
1470841465,1,0
1470856107,3,0
1470885371,1,0
1470929300,1,1
1470943948,2,0
1470958590,2,0
1470987863,1,0
1471017132,3,0
1471031780,6,1
1471061053,2,1
1471104980,2,0
1471119633,0,1
1471134253,1,0
1471163548,4,1
1471178182,2,0
1471192825,1,0
1471207451,1,0
1471222092,2,0
1471266034,1,0
1471309961,2,0
1471324579,2,0
1471339217,1,0
1471353869,1,0
1471368536,0,1
1471383180,1,0
1471397786,2,1
1471412417,1,0
1471427047,1,0
1471456353,2,0
1471470982,1,0
1471485638,1,0
1471514894,0,1
1471529541,4,0
1471544443,1,0
1471559057,5,0
1471573705,1,0
1471632274,2,0
1471646899,1,0
1471661561,1,0
1471676186,1,0
1471690871,2,0
1471705450,4,1
1471734742,1,1
1471764041,4,0
1471778655,2,0
1471793304,2,0
1471807946,1,0
1471822580,5,0
1471837215,2,0
1471851856,2,0
1471866505,2,0
1471881131,2,0
1471910435,2,0
1471925056,1,0
1471954355,1,0
1471968979,2,1
1471998252,3,0
1472012911,4,0
1472056812,1,0
1472071450,3,0
1472086111,1,0
1472100737,1,0
1472115373,6,0
1472130063,4,1
1472144669,2,0
1472159554,3,0
1472174434,1,1
1472189049,2,0
1472203695,2,0
1472218358,1,1
1472232987,0,1
1472247612,3,0
1472262341,1,0
1472276891,1,0
1472306180,2,0
1472320851,1,0
1472350107,2,0
1472364746,1,0
1472379404,1,0
1472394009,1,1
1472408663,1,0
1472423302,2,0
1472437936,1,0
1472467453,3,0
1472496738,1,0
1472511383,7,0
1472526050,1,0
1472540655,3,0
1472569960,1,1
1472584578,2,0
1472599240,1,0
1472613874,1,0
1472643151,1,0
1472657775,1,0
1472672435,2,1
1472701713,1,0
1472716334,1,0
1472730975,2,0
1472760260,3,0
1472774904,4,0
1472804193,2,0
1472818828,1,0
1472833448,2,0
1472848102,4,0
1472862749,2,0
1472877381,1,0
1472892027,1,0
1472906653,1,0
1472921297,1,0
1472935938,1,0
1472950581,1,0
1472965258,1,0
1472994491,1,1
1473009387,1,0
1473024060,1,0
1473053303,3,0
1473067948,1,0
1473097222,2,0
1473111854,1,0
1473126498,1,1
1473141137,1,1
1473170452,2,0
1473185063,5,0
1473199694,1,0
1473273132,2,0
1473302422,1,0
1473317053,1,0
1473331700,1,0
1473346338,2,1
1473360977,3,0
1473375665,1,1
1473390261,1,0
1473404898,2,2
1473419545,1,0
1473434182,0,1
1473448826,2,1
1473463447,1,0
1473478108,0,1
1473492748,2,0
1473507390,1,0
1473522019,3,0
1473536672,14,1
1473565950,3,0
1473580581,1,1
1473595254,1,0
1473609859,4,0
1473624496,1,0
1473654028,1,0
1473668651,1,0
1473683304,4,0
1473697937,2,2
1473712578,1,0
1473785771,1,1
1473800458,2,0
1473815050,0,2
1473829703,3,0
1473844339,2,0
1473858981,2,0
1473873623,1,0
1473888250,3,1
1473902908,1,1
1473917536,2,0
1473932183,2,0
1473976340,2,0
1473990985,2,1
1474005662,1,0
1474049540,0,1
1474064194,3,0
1474078829,2,1
1474108096,1,0
1474122742,2,0
1474137383,3,0
1474152021,1,1
1474166648,1,0
1474181296,1,0
1474195937,1,0
1474210571,1,0
1474225255,1,0
1474239860,1,0
1474269156,3,0
1474298420,2,0
1474313069,2,0
1474327694,1,0
1474342341,2,0
1474357290,1,0
1474371854,0,1
1474401141,1,0
1474415788,1,0
1474430486,1,0
1474459696,1,0
1474474342,1,1
1474503872,2,0
1474533152,0,2
1474562431,1,3
1474591704,2,0
1474606337,1,1
1474620987,1,0
1474650258,1,0
1474664899,6,0
1474679545,1,0
1474694170,3,0
1474723448,2,0
1474767377,1,0
1474782268,1,1
1474796896,1,0
1474826172,1,0
1474840862,1,1
1474870173,2,0
1474899380,2,0
1474914019,1,1
1474928662,1,0
1474972571,2,0
1475001856,3,0
1475016496,2,0
1475031139,1,0
1475045780,1,0
1475075294,2,0
1475119209,0,2
1475133850,2,0
1475148536,3,0
1475192414,1,1
1475236338,1,0
1475250994,2,0
1475265663,1,0
1475309537,2,1
1475324433,2,0
1475339050,0,1
1475368354,1,2
1475397613,1,0
1475426902,1,0
1475441548,2,0
1475456180,2,1
1475470859,2,0
1475500095,1,0
1475529373,1,0
1475558651,1,0
1475587943,1,0
1475602579,4,0
1475617215,1,0
1475631846,2,0
1475646498,2,1
1475661141,2,0
1475675778,2,0
1475690473,1,0
1475705060,4,1
1475719696,3,0
1475734339,1,1
1475763624,4,0
1475778506,1,0
1475793141,3,1
1475807784,1,0
1475837055,2,0
1475851694,1,0
1475866336,5,0
1475880992,1,0
1475895666,1,0
1475910252,2,0
1475924901,1,0
1475939544,3,0
1475954180,3,0
1475968817,2,2
1475983463,2,0
1475998100,4,0
1476012745,2,0
1476027386,1,0
1476042014,2,0
1476056652,3,1
1476071288,1,0
1476085948,4,0
1476100589,3,0
1476129852,2,0
1476144506,1,1
1476159144,2,0
1476173782,1,0
1476188421,1,0
1476203057,7,2
1476217699,1,1
1476232343,5,1
1476247013,5,0
1476261618,3,0
1476334904,3,0
1476349458,24,0
1476364093,4,0
1476378755,4,0
1476393377,5,0
1476408016,4,0
1476422652,2,0
1476437300,4,0
1476451947,2,0
1476466826,3,0
1476496094,4,0
1476510748,1,0
1476525368,4,0
1476540056,5,0
1476554651,5,0
1476569298,2,0
1476583939,2,0
1476598576,6,0
1476613221,2,1
1476627860,1,0
1476642494,4,1
1476657141,3,0
1476671789,3,0
1476686416,4,0
1476701047,4,0
1476715694,1,1
1476730350,3,1
1476744981,5,0
1476759663,1,0
1476774251,2,0
1476788901,2,0
1476803535,2,0
1476818231,4,0
1476832830,3,0
1476847453,2,1
1476862097,2,0
1476876747,0,1
1476891373,3,0
1476906019,1,1
1476920649,2,0
1476935295,1,0
1476949941,4,0
1476979274,4,0
1476993886,2,0
1477008509,1,0
1477023391,5,1
1477038008,3,1
1477052654,2,0
1477067208,3,0
1477096577,3,0
1477111213,2,0
1477125848,3,0
1477199103,4,0
1477213701,1,0
1477228365,1,0
1477242986,1,1
1477257624,2,1
1477272262,1,0
1477286904,1,0
1477301558,1,0
1477316173,1,0
1477330825,1,0
1477345454,1,0
1477360097,1,0
1477374754,2,0
1477404056,3,1
1477418651,4,0
1477433312,5,0
1477447947,2,0
1477462582,4,0
1477477218,5,0
1477491855,3,0
1477506495,4,0
1477521147,3,0
1477535781,7,0
1477550418,5,0
1477565055,3,0
1477579704,5,1
1477594339,1,0
1477608980,1,0
1477623664,5,0
1477638262,3,0
1477652897,3,0
1477667545,4,0
1477682185,1,0
1477696823,5,0
1477711452,3,0
1477726107,2,0
1477740748,1,0
1477755431,2,0
1477770018,2,1
1477784653,2,1
1477799297,2,0
1477813973,4,0
1477828577,3,1
1477843259,4,0
1477857881,3,0
1477872493,5,0
1477887151,3,0
1477902087,4,0
1477916652,4,0
1477931303,4,0
1477960586,3,0
1477989858,2,0
1478019144,1,0
1478033773,1,0
1478063048,1,0
1478092347,2,0
1478106973,1,0
1478121616,3,0
1478136253,2,0
1478150907,4,0
1478165550,1,0
1478180186,3,1
1478209448,4,0
1478224107,0,1
1478238765,5,0
1478253388,0,1
1478268072,3,0
1478282663,0,1
1478297300,5,0
1478311945,4,1
1478326577,1,0
1478341214,3,1
1478355862,1,0
1478370502,4,0
1478399800,2,1
1478429306,1,0
1478443942,3,1
1478458589,1,0
1478473265,2,0
1478487889,0,1
1478502756,1,1
1478517631,1,0
1478546910,1,0
1478561554,1,0
1478576194,1,0
1478590816,1,0
1478605456,2,0
1478634769,4,0
1478649381,2,0
1478664053,4,0
1478678682,1,1
1478693296,2,0
1478707955,4,0
1478722579,4,0
1478737228,2,0
1478751860,3,0
1478766508,3,0
1478781140,1,0
1478795792,4,0
1478810414,1,0
1478825055,1,0
1478839710,3,0
1478854380,3,0
1478868991,3,0
1478883701,1,0
1478898251,4,0
1478912900,3,0
1478927541,2,0
1478942458,4,0
1478957047,3,0
1478971709,4,1
1479000978,2,0
1479015629,4,0
1479030246,2,0
1479044893,1,0
1479059545,3,0
1479074195,3,0
1479088855,2,0
1479103461,1,1
1479118106,4,0
1479132741,0,1
1479147411,3,1
1479162023,1,0
1479176675,1,0
1479191302,4,0
1479220580,6,0
1479249871,6,0
1479279139,3,0
1479293805,3,0
1479308501,2,0
1479323327,2,0
1479352595,1,0
1479367468,3,0
1479382114,3,1
1479396741,3,0
1479411388,1,0
