DateTime,AddedIPs,RemovedIPs
1442310038,0,89160758
1442397037,89160758,0
1443952079,0,65536
1448356747,0,8113
1453541947,0,2097152
1468710393,0,131072
1476039936,0,8448
1476132366,8448,4162
1476218884,4162,809
1476305403,809,4977
1476391898,4977,2724
1476478358,2724,633
1476564832,633,1221
1476651279,1221,65637
1476696235,65637,150
1476782579,150,1305
1476869574,1305,8793
1476956015,8793,689
1477040938,689,67762
1477127376,67762,2952
1477215415,2952,65926
1477300614,65926,289
1477387056,289,156
1477474555,156,7638
1477560836,7638,744
1477646758,744,557
1477733201,557,648
1477818450,648,1873
1477904918,1873,10305
1477992236,10305,835
1478078095,835,400
1478164538,400,485
1478317028,485,66786
1478402653,66786,2394
1478487550,2394,66777
1478574057,66777,2337
1478660835,2337,864
1478746450,864,650
1478832945,650,368
1478920752,368,185
1479006210,185,6896
1479072343,6896,1720
1479109570,1720,69
1479196814,69,928
1479283338,928,68154
1479368831,68154,3457
1479456171,3457,418
