DateTime,Entries,UniqueIPs
1434197235,4755,118879424
1434283635,4755,118879424
1434283635,4755,118879424
1434456432,4756,118876096
1434542832,4757,118875072
1434629234,4750,118866880
1434629234,4750,118866880
1434629234,4750,118866880
1434715632,4747,118861504
1434802034,4747,118862272
1435061229,4743,118858176
1435147643,4739,118846400
1435234037,4741,118847680
1435406833,4743,118849728
1435666100,4746,118852800
1435752441,4746,118853568
1435925231,4745,118828736
1436011633,4747,118830784
1436270833,4748,118831808
1436357235,4750,118833600
1436443632,4751,118835648
1436530034,4752,118817216
1436616437,4756,118869696
1436875649,4756,118869408
1436962042,4757,118870432
1437048434,4758,118871456
1437134840,4760,118873504
1437221233,4761,118874528
1437480442,4761,118875296
1437566840,4772,118876064
1437653234,4771,118875552
1437739633,4772,118876576
1437826038,4773,118877600
1438085235,4774,118875296
1438171637,4775,118876320
1438344436,4774,118614176
1438430834,4776,118616224
1438690037,4779,118621600
1438776441,4794,118621600
1438862836,4795,118622624
1438949235,4796,118623648
1439035640,4798,118625696
1439122061,4798,118625696
1439122061,4798,118625696
1439122061,4798,118625696
1439208442,4798,118625696
1439381237,4800,118627744
1439467637,4802,118632608
1439640436,4803,118635136
1439640436,4803,118635136
1439899637,4804,118636160
1440158843,4804,118572416
1440158843,4804,118572416
1440245241,4805,118573184
1440504438,4806,118571904
1440590838,4811,118574720
1440590838,4811,118574720
1440677238,4815,118573440
1440763639,4816,118573952
1440850035,4816,118573952
1441109235,4818,118576000
1441195631,4818,118576512
1441368438,4821,118579584
1441454835,4821,118580352
1441714034,4823,118582400
1441800441,4823,118582144
1441886837,4837,118574720
1441973236,4841,118578816
1442059634,4842,118579840
1442318841,4843,118580864
1442405238,4840,118579840
1442491638,4840,118580608
1443096438,4850,118566784
1443182843,4852,118568832
1443269240,4854,118570112
1443528434,4858,118574208
1443701235,4860,118568064
1443787639,4868,118560896
1444306034,4868,118561408
1444392440,4869,118562432
1444478841,4869,118562944
1444824441,4871,118564992
1444910840,4872,118566016
1444997241,4873,118568064
1445083643,4874,118569088
1445342838,4877,118569856
1445429241,4884,118575744
1445602049,4885,118576768
1445688443,4886,118577792
1445947632,4889,118578816
1446034032,4890,118579840
1446120433,4891,118580864
1446206833,4892,118581888
1446293231,4897,118589056
1446552431,4904,118572416
1446638836,4905,118573440
1446725237,4908,118577536
1446811634,4909,118578560
1447157234,4910,118579584
1447243636,4911,118580608
1447330034,4913,118582656
1447416435,4914,118583680
1447503066,4916,118585728
1447848451,4919,118588800
1447934834,4921,118590848
1448107632,4922,118591872
1448453236,4923,118592896
1448539639,4927,118596224
1448626036,4928,118597248
1448712434,4929,118598272
1448971638,4929,118597248
1449058037,4931,118663808
1449144435,4932,118655616
1449230836,4933,118656640
1449317233,4936,118659712
1449576434,4945,118664320
1449662831,4944,118663296
1449749230,4946,118664576
1449835633,4948,118666624
1450267629,4949,118667648
1450354031,4950,118668672
1450440431,4951,118669696
1450526828,4955,118673792
1450958828,4957,118675840
1451045230,4958,118676864
1451390827,4960,118679936
1451477227,4961,118745472
1451650029,4958,118677888
1451995628,4961,118688128
1452082027,4964,118721920
1452168428,4971,118723712
1452341228,4972,118724736
1452600431,4973,118725760
1452686834,4975,118727808
1452773231,4976,118728832
1452859629,4977,118729856
1452946030,4979,118731904
1453118828,4979,118731904
1453205231,4988,118738048
1453291628,4990,118740096
1453378031,4992,118742912
1453464429,4992,118742912
1453550832,4993,118743936
1453637228,4993,118743936
1453723630,4993,118743936
1453810031,4994,118744960
1453982829,4995,118745984
1454155631,4996,118747008
1454414837,4999,118750080
1454587633,5001,118752128
1454674027,5001,118687616
1454846830,5003,118689664
1455019629,5005,118691712
1455106028,5007,118693760
1455192428,5008,118694784
1455278830,5009,118699904
1455365229,5010,118700928
1455710828,5011,118701952
1455797229,5012,118702976
1455883630,5016,118707072
1455970028,5018,118709120
1456229231,5021,118712192
1456315628,5022,118713216
1456488429,5024,118714496
1456574828,5024,118713728
1456834083,5027,118736256
1456920439,5028,118737536
1457006830,5030,118739584
1457093231,5032,118741632
1457179633,5034,118743680
1457438832,5035,118744704
1457611629,5037,118746752
1457698029,5040,118753920
1457784429,5040,118722176
1458043630,5042,118726272
1458216431,5044,118728320
1458302829,5046,118730368
1458389234,5049,118733440
1458734832,5050,118734464
1459339631,5053,118737024
1459426055,5054,118738048
1459512429,5057,118741120
1459858029,5058,118742144
1459944428,5061,118728832
1460030829,5065,118732928
1460462834,5069,118737024
1460549236,5071,118739072
1460635632,5072,118740096
1460722080,5074,118742144
1460808431,5075,118743168
1461067631,5076,118711424
1461240435,5078,118713472
1461326831,5080,118715520
1461413232,5081,118716544
1461672435,5083,118718592
1461931631,5088,118723712
1462018032,5090,118790272
1462277235,5094,118794368
1462450032,5099,118793344
1462622834,5100,118794368
1462882035,5104,118798464
1462968433,5105,118799488
1463054832,5108,118805632
1463141233,5112,118811264
1463659633,5113,118813056
1463746032,5116,118815360
1463832434,5120,118820480
1464091638,5123,118823552
1464178039,5124,118824576
1464437235,5125,118825600
1464782834,5128,118831744
1464869232,5128,118831744
1465301234,5129,118832000
1465387634,5130,118841216
1465474034,5131,118842240
1465560433,5135,118839168
1465646832,5136,118840192
1465906032,5137,118841216
1466078843,5139,118843264
1466165234,5140,118844288
1466251631,5142,118845824
1466510835,5150,118863744
1466597234,5162,118862720
1466683635,5163,118863744
1466770034,5163,118862720
1466856433,5164,118863744
1467202033,5169,118862464
1467288434,5171,118795904
1467374840,5171,118795904
1467461235,5172,118796928
1467720434,5173,118797952
1467806835,5178,118804096
1467979632,5180,118806144
1468066030,5182,118808192
1468325233,5183,118808192
1468584435,5185,118808192
1468670832,5187,118809728
1468930035,5191,118810496
1469016434,5192,118811520
1469102833,5195,118813824
1469189253,5196,118815872
1469275636,5197,118816896
1469534833,5198,118818944
1469621235,5201,118829184
1469707634,5199,118824064
1469794300,5200,118825088
1469880435,5201,118826112
1470139636,5204,118830208
1470226036,5205,118831232
1470312438,5206,118831232
1470485235,5207,118832256
1470744436,5208,118833280
1470830837,5209,118834304
1470917236,5215,118823040
1471003642,5217,118825088
1471090038,5220,118829184
1471349237,5221,118830208
1471435638,5226,118833280
1471608437,5229,118836352
1471694834,5231,118838400
1471954040,5232,118903936
1472040439,5234,118905984
1472126837,5236,118909056
1472213237,5237,118910080
1472299636,5238,118911104
1472645239,5239,118912128
1472731636,5241,118914176
1472818056,5243,118916224
1472904439,5244,118917248
1473250034,5246,118919296
1473336438,5248,118921344
1473509244,5247,118904960
1473854835,5252,118909568
1473941240,5255,118915712
1474027640,5254,118914688
1474114037,5255,118915712
